entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2023-01-03 13:30:00+00:00,2023-01-03 15:30:00+00:00,1,FVG,1839.21,8.564,-1.02335
2023-01-03 17:45:00+00:00,2023-01-05 13:45:00+00:00,1,NY,1838.87,11.704,-0.01709
2023-01-06 14:00:00+00:00,2023-01-06 14:00:00+00:00,1,FVG,1852.13,5.3113,-1.03766
2023-01-06 15:30:00+00:00,2023-01-09 02:30:00+00:00,1,FVG,1857.805,8.5488,2.43566
2023-01-10 14:15:00+00:00,2023-01-11 15:30:00+00:00,1,NY,1876.86,6.618,-1.03022
2023-01-13 15:00:00+00:00,2023-01-16 01:45:00+00:00,1,FVG,1910.895,4.3743,3.06238
2023-01-16 15:15:00+00:00,2023-01-17 02:30:00+00:00,1,FVG,1916.07,4.8107,-1.04157
2023-01-17 13:45:00+00:00,2023-01-17 19:00:00+00:00,1,FVG,1912.91,8.835,-1.02264
2023-01-19 13:30:00+00:00,2023-01-19 19:15:00+00:00,1,NY,1912.346,5.8505,2.7566
2023-01-19 20:30:00+00:00,2023-01-20 04:00:00+00:00,1,NY,1932.075,4.7332,-1.04225
2023-01-25 14:30:00+00:00,2023-01-25 18:15:00+00:00,1,FVG,1928.105,5.6286,2.36809
2023-01-27 13:45:00+00:00,2023-01-27 13:45:00+00:00,1,NY,1933.09,3.4118,-1.05862
2023-01-27 14:00:00+00:00,2023-01-27 14:30:00+00:00,1,NY,1929.135,3.797,-1.05267
2023-01-27 16:30:00+00:00,2023-01-27 17:15:00+00:00,1,NY,1930.815,3.3997,-1.05883
2023-01-31 14:15:00+00:00,2023-02-01 17:00:00+00:00,1,FVG,1921.215,5.5475,-0.03605
2023-02-02 14:15:00+00:00,2023-02-02 16:45:00+00:00,-1,NY,1946.33,10.6444,2.87975
2023-02-02 18:30:00+00:00,2023-02-03 13:30:00+00:00,-1,NY,1915.925,6.4209,2.78508
2023-02-03 14:00:00+00:00,2023-02-03 15:00:00+00:00,-1,FVG,1886.48,6.9534,2.285
2023-02-03 18:45:00+00:00,2023-02-05 23:15:00+00:00,-1,NY,1863.41,6.2236,-1.03214
2023-02-06 13:30:00+00:00,2023-02-06 13:30:00+00:00,-1,NY,1869.87,3.2613,-1.06133
2023-02-06 13:45:00+00:00,2023-02-06 15:45:00+00:00,-1,NY,1872.755,3.3661,2.64944
