entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2024-01-03 14:30:00+00:00,2024-01-03 15:00:00+00:00,-1,FVG,2036.99,5.9164,-1.0338
2024-01-03 15:15:00+00:00,2024-01-04 06:15:00+00:00,-1,NY,2040.6,7.3017,-1.02739
2024-01-04 13:45:00+00:00,2024-01-04 15:00:00+00:00,-1,FVG,2039.33,3.5282,-1.05669
2024-01-05 10:15:00+00:00,2024-01-05 13:00:00+00:00,-1,FVG,2038.235,3.1484,-1.06352
2024-01-05 13:45:00+00:00,2024-01-05 13:45:00+00:00,-1,FVG,2033.74,4.1109,-1.04865
2024-01-08 11:30:00+00:00,2024-01-08 15:30:00+00:00,-1,FVG,2022.36,9.7254,-1.02056
2024-01-09 13:30:00+00:00,2024-01-09 13:30:00+00:00,-1,NY,2033.005,5.7894,-1.03455
2024-01-09 15:00:00+00:00,2024-01-11 05:45:00+00:00,-1,NY,2034.525,7.8049,-0.02563
2024-01-12 11:00:00+00:00,2024-01-12 13:00:00+00:00,1,FVG,2046.195,3.4509,-0.05796
2024-01-12 13:45:00+00:00,2024-01-12 15:30:00+00:00,1,FVG,2054.46,4.9973,-0.04002
2024-01-16 13:30:00+00:00,2024-01-16 13:30:00+00:00,-1,NY,2033.38,2.5804,-1.07751
2024-01-16 14:00:00+00:00,2024-01-19 13:15:00+00:00,-1,NY,2037.435,13.9021,-0.01439
2024-01-19 13:45:00+00:00,2024-01-19 14:30:00+00:00,1,NY,2035.075,6.4899,-1.03082
2024-01-19 14:45:00+00:00,2024-01-19 15:00:00+00:00,-1,FVG,2027.725,3.4311,-1.05829
2024-01-22 13:30:00+00:00,2024-01-22 14:30:00+00:00,-1,FVG,2025.12,3.4471,2.24907
2024-01-22 14:45:00+00:00,2024-01-22 14:45:00+00:00,-1,NY,2018.235,4.422,-1.04523
2024-01-22 15:00:00+00:00,2024-01-23 05:30:00+00:00,-1,NY,2022.555,7.9454,-1.02517
2024-01-23 19:15:00+00:00,2024-01-24 14:30:00+00:00,1,NY,2027.32,4.7841,-0.04181
2024-01-24 15:00:00+00:00,2024-01-29 13:45:00+00:00,-1,FVG,2024.505,12.5461,-1.01594
2024-01-29 14:00:00+00:00,2024-01-29 14:15:00+00:00,1,FVG,2037.11,3.1788,-1.06292
2024-01-29 14:30:00+00:00,2024-01-29 14:30:00+00:00,1,NY,2033.135,7.7883,-1.02568
2024-01-29 20:15:00+00:00,2024-01-30 15:15:00+00:00,1,NY,2031.11,6.1003,-0.03279
2024-01-31 15:00:00+00:00,2024-01-31 16:00:00+00:00,1,FVG,2051.75,4.1671,-1.04799
2024-02-01 14:00:00+00:00,2024-02-02 13:30:00+00:00,1,FVG,2040.34,10.603,-0.01886
2024-02-02 13:45:00+00:00,2024-02-02 18:30:00+00:00,-1,FVG,2038.705,4.9254,-0.04061
2024-02-05 13:30:00+00:00,2024-02-05 14:45:00+00:00,-1,NY,2016.985,3.2718,-1.06113
2024-02-05 15:15:00+00:00,2024-02-06 05:30:00+00:00,-1,NY,2019.765,8.9654,-1.02231
2024-02-07 13:45:00+00:00,2024-02-07 15:15:00+00:00,1,FVG,2036.27,5.1225,-0.03904
2024-02-08 14:00:00+00:00,2024-02-08 14:15:00+00:00,-1,FVG,2020.94,3.8657,-1.05174
2024-02-09 13:30:00+00:00,2024-02-09 13:30:00+00:00,-1,FVG,2026.905,2.3111,-1.08654
2024-02-12 14:00:00+00:00,2024-02-12 17:45:00+00:00,-1,FVG,2018.94,3.8829,-0.05151
2024-02-13 14:00:00+00:00,2024-02-13 15:00:00+00:00,-1,FVG,2004.255,5.208,2.32047
2024-02-16 14:00:00+00:00,2024-02-16 15:30:00+00:00,-1,FVG,2001.355,7.0558,-1.02835
2024-02-19 13:30:00+00:00,2024-02-19 14:00:00+00:00,1,FVG,2018.355,1.9873,-1.10064
2024-02-20 10:45:00+00:00,2024-02-20 20:00:00+00:00,1,FVG,2027.26,2.5418,-1.07868
2024-02-21 01:45:00+00:00,2024-02-21 09:00:00+00:00,1,NY,2026.245,3.3168,-0.0603
2024-02-28 11:00:00+00:00,2024-02-28 13:00:00+00:00,1,FVG,2027.535,1.9896,2.21477
2024-02-28 13:30:00+00:00,2024-02-28 14:30:00+00:00,1,FVG,2033.64,2.4064,-0.08311
2024-02-28 14:45:00+00:00,2024-02-29 10:15:00+00:00,1,NY,2033.085,2.9243,-0.06839
2024-02-29 13:30:00+00:00,2024-02-29 13:30:00+00:00,1,FVG,2032.4,2.3904,2.08688
2024-02-29 13:45:00+00:00,2024-02-29 16:30:00+00:00,1,NY,2044.16,3.6729,-0.05445
