entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2025-07-01 09:45:00+00:00,2025-07-01 13:15:00+00:00,1,FVG,3346.115,6.5607,-0.03048
2025-07-01 13:30:00+00:00,2025-07-01 15:00:00+00:00,1,NY,3349.725,6.7037,-1.02983
2025-07-01 22:45:00+00:00,2025-07-02 00:00:00+00:00,1,NY,3343.375,6.6846,-1.02992
2025-07-02 09:45:00+00:00,2025-07-03 12:30:00+00:00,1,FVG,3339.76,12.5045,-0.01599
2025-07-03 13:00:00+00:00,2025-07-03 13:30:00+00:00,-1,FVG,3324.29,10.9541,-1.01826
2025-07-04 03:45:00+00:00,2025-07-07 00:00:00+00:00,1,NY,3338.02,12.4215,-1.0161
2025-07-08 14:15:00+00:00,2025-07-08 17:00:00+00:00,-1,FVG,3305.885,8.3195,-0.02404
2025-07-10 14:15:00+00:00,2025-07-11 00:30:00+00:00,-1,FVG,3318.915,11.9793,-1.0167
2025-07-11 10:15:00+00:00,2025-07-11 15:15:00+00:00,1,FVG,3342.765,10.3504,2.40628
2025-07-14 13:45:00+00:00,2025-07-14 14:15:00+00:00,1,FVG,3357.65,6.9671,-1.02871
2025-07-15 13:30:00+00:00,2025-07-15 14:15:00+00:00,-1,FVG,3340.72,7.7641,-1.02576
2025-07-16 12:30:00+00:00,2025-07-16 14:45:00+00:00,-1,NY,3334.235,9.1503,-0.02186
2025-07-17 13:00:00+00:00,2025-07-17 13:30:00+00:00,-1,FVG,3312.995,7.325,-1.0273
2025-07-17 14:30:00+00:00,2025-07-21 13:45:00+00:00,1,NY,3330.52,21.3254,2.95405
2025-07-21 16:00:00+00:00,2025-07-22 01:00:00+00:00,1,NY,3398.275,7.808,-1.02561
2025-07-22 03:45:00+00:00,2025-07-22 06:00:00+00:00,1,NY,3393.135,8.3311,-1.02401
2025-07-22 12:30:00+00:00,2025-07-22 13:00:00+00:00,1,FVG,3400.76,4.5355,2.27842
2025-07-22 17:00:00+00:00,2025-07-23 01:00:00+00:00,1,NY,3432.53,8.6443,-1.02314
2025-07-23 01:15:00+00:00,2025-07-23 02:30:00+00:00,1,NY,3426.235,6.2955,-1.03177
2025-07-28 12:30:00+00:00,2025-07-29 15:00:00+00:00,-1,NY,3330.45,10.7247,-0.01865
2025-07-30 13:00:00+00:00,2025-07-30 15:15:00+00:00,-1,FVG,3313.175,7.4039,2.37608
2025-07-31 14:00:00+00:00,2025-08-01 12:30:00+00:00,-1,FVG,3301.17,14.3021,-1.01398
2025-08-01 13:00:00+00:00,2025-08-04 11:15:00+00:00,1,FVG,3341.475,10.0298,2.40503
2025-08-04 13:15:00+00:00,2025-08-04 14:45:00+00:00,1,FVG,3373.5,6.27,-0.0319
2025-08-05 12:45:00+00:00,2025-08-05 14:00:00+00:00,1,FVG,3364.105,6.5984,2.3583
2025-08-05 14:15:00+00:00,2025-08-06 04:45:00+00:00,1,NY,3373.11,8.0734,-0.02477
2025-08-06 13:15:00+00:00,2025-08-07 07:30:00+00:00,1,FVG,3368.83,10.9771,2.4483
2025-08-08 12:30:00+00:00,2025-08-08 13:00:00+00:00,1,NY,3394.665,6.4131,-1.03119
2025-08-08 13:15:00+00:00,2025-08-08 17:45:00+00:00,1,NY,3396.025,16.2166,-1.01233
2025-08-08 18:15:00+00:00,2025-08-10 22:00:00+00:00,1,NY,3397.465,16.8279,-1.01189
2025-08-11 12:30:00+00:00,2025-08-13 09:30:00+00:00,-1,NY,3349.145,15.5324,-1.01288
2025-08-14 12:45:00+00:00,2025-08-14 16:15:00+00:00,-1,NY,3352.76,6.8692,2.8486
2025-08-14 16:30:00+00:00,2025-08-15 03:30:00+00:00,-1,NY,3331.8,9.9954,-1.02001
2025-08-15 12:30:00+00:00,2025-08-18 03:30:00+00:00,-1,NY,3337.225,11.4034,-1.01754
2025-08-18 13:15:00+00:00,2025-08-19 23:45:00+00:00,-1,FVG,3341.085,10.9661,2.41314
2025-08-20 14:15:00+00:00,2025-08-21 00:45:00+00:00,1,NY,3342.34,6.5598,-0.03049
2025-08-22 13:45:00+00:00,2025-08-22 14:00:00+00:00,1,FVG,3333.96,8.9219,2.39716
